task,modality,macro_domain,n_features
Boat,audio,Fluency_Timing,6
Boat,audio,Prosody_AcousticPhonatory,20
Boat,linguistic,Affect_Emotion,9
Boat,linguistic,Lexical_Diversity_POSMix,19
Boat,linguistic,Memoria_Semantica,20
Boat,linguistic,Morphosyntax_Complexity,4
Craft,audio,Fluency_Timing,1
Craft,audio,Prosody_AcousticPhonatory,1
Craft,linguistic,Affect_Emotion,1
Craft,linguistic,Memoria_Semantica,4
Craft,linguistic,Morphosyntax_Complexity,1
Craft,unspecified,Affect_Emotion,8
Craft,unspecified,Fluency_Timing,5
Craft,unspecified,Lexical_Diversity_POSMix,19
Craft,unspecified,Memoria_Semantica,16
Craft,unspecified,Morphosyntax_Complexity,3
Craft,unspecified,Prosody_AcousticPhonatory,19
Fugu,audio,Fluency_Timing,6
Fugu,audio,Prosody_AcousticPhonatory,20
Fugu,linguistic,Affect_Emotion,20
Fugu,linguistic,Lexical_Diversity_POSMix,19
Fugu,linguistic,Memoria_Semantica,9
Fugu,linguistic,Morphosyntax_Complexity,4
Phonological,audio,Fluency_Timing,6
Phonological,audio,Prosody_AcousticPhonatory,20
Phonological,linguistic,Affect_Emotion,3
Phonological,linguistic,Lexical_Diversity_POSMix,12
Phonological,linguistic,Memoria_Semantica,7
Semantic,audio,Fluency_Timing,6
Semantic,audio,Prosody_AcousticPhonatory,20
Semantic,linguistic,Memoria_Semantica,14
Semantic,unspecified,Memoria_Semantica,1
