task,dimension,model_type,AUC_bootstrap_dev,AUC_oob_dev,accuracy_bootstrap_dev,accuracy_oob_dev
Animales,timing_vr,svc,"[ 0.74, 0.85, 0.92]","[ 0.71, 0.84, 0.97]","[ 0.7, 0.79, 0.86]","[ 0.67, 0.79, 0.91]"
Animales,properties_timing_vr,svc,"[ 0.84, 0.89, 0.95]","[ 0.78, 0.89, 0.97]","[ 0.73, 0.81, 0.89]","[ 0.7, 0.8, 0.92]"
Animales,properties_vr,svc,"[ 0.77, 0.87, 0.94]","[ 0.75, 0.87, 0.97]","[ 0.7, 0.78, 0.86]","[ 0.67, 0.78, 0.91]"
Animales,timing,knn,"[ 0.73, 0.82, 0.91]","[ 0.69, 0.82, 0.94]","[ 0.66, 0.75, 0.83]","[ 0.62, 0.74, 0.89]"
Animales,properties,svc,"[ 0.73, 0.84, 0.93]","[ 0.72, 0.84, 0.97]","[ 0.64, 0.73, 0.82]","[ 0.61, 0.73, 0.89]"
Animales,properties_timing,xgb,"[ 0.82, 0.91, 0.98]","[ 0.79, 0.9, 1.0]","[ 0.79, 0.85, 0.92]","[ 0.74, 0.85, 0.96]"
P,timing_vr,lr,"[ 0.67, 0.78, 0.89]","[ 0.6, 0.77, 0.91]","[ 0.63, 0.73, 0.83]","[ 0.59, 0.72, 0.84]"
P,properties_timing_vr,lr,"[ 0.67, 0.8, 0.91]","[ 0.59, 0.79, 0.98]","[ 0.62, 0.75, 0.85]","[ 0.58, 0.75, 0.91]"
P,properties_vr,lr,"[ 0.67, 0.78, 0.91]","[ 0.61, 0.78, 0.91]","[ 0.59, 0.69, 0.8]","[ 0.53, 0.68, 0.8]"
P,timing,lr,"[ 0.7, 0.78, 0.87]","[ 0.65, 0.79, 0.91]","[ 0.58, 0.66, 0.76]","[ 0.54, 0.67, 0.8]"
P,properties,svc,"[ 0.74, 0.84, 0.93]","[ 0.69, 0.84, 0.96]","[ 0.67, 0.78, 0.88]","[ 0.64, 0.77, 0.89]"
P,properties_timing,svc,"[ 0.72, 0.83, 0.93]","[ 0.66, 0.81, 0.97]","[ 0.67, 0.75, 0.83]","[ 0.61, 0.74, 0.88]"
Animales_P,timing_vr,svc,"[ 0.79, 0.86, 0.93]","[ 0.74, 0.86, 0.97]","[ 0.68, 0.78, 0.85]","[ 0.68, 0.78, 0.91]"
Animales_P,properties_timing_vr,svc,"[ 0.82, 0.89, 0.95]","[ 0.81, 0.9, 1.0]","[ 0.75, 0.83, 0.91]","[ 0.74, 0.84, 0.95]"
Animales_P,properties_vr,svc,"[ 0.75, 0.87, 0.94]","[ 0.77, 0.88, 0.99]","[ 0.73, 0.82, 0.91]","[ 0.71, 0.83, 0.94]"
Animales_P,timing,xgb,"[ 0.76, 0.85, 0.93]","[ 0.7, 0.85, 0.97]","[ 0.7, 0.77, 0.86]","[ 0.63, 0.78, 0.91]"
Animales_P,properties,svc,"[ 0.84, 0.9, 0.96]","[ 0.8, 0.9, 0.98]","[ 0.75, 0.82, 0.89]","[ 0.7, 0.82, 0.92]"
Animales_P,properties_timing,lr,"[ 0.81, 0.88, 0.94]","[ 0.73, 0.87, 0.96]","[ 0.62, 0.74, 0.85]","[ 0.57, 0.74, 0.88]"
