n_neighbors,IR__nada___MLU_Words,IR__nada___Riqueza_lexica,IR__nada___1er_TotPron,IR__nada___2da_TotPron,IR__nada___3era_TotPron,IR__nada___%_Pauses,IR__nada___%_Fillers,IR__nada___%_Reformulaciones,IR__nada___%_monoWWR,IR__nada___Rango_pitch,IR__nada___Rango_Jitter,IR__nada___Rango Shimmer,IR__nada___talking_intervals_speechrate
5,1,0,0,1,0,1,0,0,1,1,1,1,0
5,1,0,1,1,1,1,0,1,0,1,0,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0,1,1,0,0,1,1,1,1,0,1,1,0
5,1,1,0,0,0,1,0,1,1,1,0,1,1
5,0,1,1,0,0,1,0,1,1,1,1,0,1
13,1,0,0,1,0,1,0,0,1,1,1,1,0
13,1,0,1,1,1,1,0,1,0,1,0,1,1
13,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0,1,1,0,0,1,1,1,1,0,1,1,0
13,1,1,0,0,0,1,0,1,1,1,0,1,1
13,0,1,1,0,0,1,0,1,1,1,1,0,1
6,1,0,0,1,0,1,0,0,1,1,1,1,0
6,1,0,1,1,1,1,0,1,0,1,0,1,1
6,1,1,1,1,1,1,1,1,1,1,1,1,1
6,0,1,1,0,0,1,1,1,1,0,1,1,0
6,1,1,0,0,0,1,0,1,1,1,0,1,1
6,0,1,1,0,0,1,0,1,1,1,1,0,1
9,1,0,0,1,0,1,0,0,1,1,1,1,0
9,1,0,1,1,1,1,0,1,0,1,0,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0,1,1,0,0,1,1,1,1,0,1,1,0
9,1,1,0,0,0,1,0,1,1,1,0,1,1
9,0,1,1,0,0,1,0,1,1,1,1,0,1
11,1,0,0,1,0,1,0,0,1,1,1,1,0
11,1,0,1,1,1,1,0,1,0,1,0,1,1
11,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0,1,1,0,0,1,1,1,1,0,1,1,0
11,1,1,0,0,0,1,0,1,1,1,0,1,1
11,0,1,1,0,0,1,0,1,1,1,1,0,1
15,1,0,0,1,0,1,0,0,1,1,1,1,0
15,1,0,1,1,1,1,0,1,0,1,0,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0,1,1,0,0,1,1,1,1,0,1,1,0
15,1,1,0,0,0,1,0,1,1,1,0,1,1
15,0,1,1,0,0,1,0,1,1,1,1,0,1
